DATE,PCEPI_NBD20230701
1959-01-01,0.12555700000000000000
1959-04-01,0.12606720000000000000
1959-07-01,0.12682830000000000000
1959-10-01,0.12752040000000000000
1960-01-01,0.12768590000000000000
1960-04-01,0.12835040000000000000
1960-07-01,0.12883300000000000000
1960-10-01,0.12940380000000000000
1961-01-01,0.12964370000000000000
1961-04-01,0.12962720000000000000
1961-07-01,0.13009320000000000000
1961-10-01,0.13023660000000000000
1962-01-01,0.13079910000000000000
1962-04-01,0.13126240000000000000
1962-07-01,0.13161260000000000000
1962-10-01,0.13201800000000000000
1963-01-01,0.13239580000000000000
1963-04-01,0.13260260000000000000
1963-07-01,0.13324510000000000000
1963-10-01,0.13373870000000000000
1964-01-01,0.13437020000000000000
1964-04-01,0.13466250000000000000
1964-07-01,0.13510370000000000000
1964-10-01,0.13555040000000000000
1965-01-01,0.13599160000000000000
1965-04-01,0.13667820000000000000
1965-07-01,0.13718840000000000000
1965-10-01,0.13760480000000000000
1966-01-01,0.13867200000000000000
1966-04-01,0.13979980000000000000
1966-07-01,0.14086970000000000000
1966-10-01,0.14195620000000000000
1967-01-01,0.14236710000000000000
1967-04-01,0.14304540000000000000
1967-07-01,0.14437180000000000000
1967-10-01,0.14561550000000000000
1968-01-01,0.14716520000000000000
1968-04-01,0.14867090000000000000
1968-07-01,0.15020960000000000000
1968-10-01,0.15186960000000000000
1969-01-01,0.15334490000000000000
1969-04-01,0.15529730000000000000
1969-07-01,0.15719720000000000000
1969-10-01,0.15901440000000000000
1970-01-01,0.16085650000000000000
1970-04-01,0.16263510000000000000
1970-07-01,0.16421520000000000000
1970-10-01,0.16634950000000000000
1971-01-01,0.16792410000000000000
1971-04-01,0.16983790000000000000
1971-07-01,0.17150340000000000000
1971-10-01,0.17256780000000000000
1972-01-01,0.17439060000000000000
1972-04-01,0.17539710000000000000
1972-07-01,0.17693860000000000000
1972-10-01,0.17838080000000000000
1973-01-01,0.18053170000000000000
1973-04-01,0.18400070000000000000
1973-07-01,0.18734830000000000000
1973-10-01,0.19118690000000000000
1974-01-01,0.19687020000000000000
1974-04-01,0.20244600000000000000
1974-07-01,0.20791140000000000000
1974-10-01,0.21319490000000000000
1975-01-01,0.21720990000000000000
1975-04-01,0.21987090000000000000
1975-07-01,0.22398800000000000000
1975-10-01,0.22774650000000000000
1976-01-01,0.23025310000000000000
1976-04-01,0.23217790000000000000
1976-07-01,0.23570760000000000000
1976-10-01,0.23943030000000000000
1977-01-01,0.24375410000000000000
1977-04-01,0.24792080000000000000
1977-07-01,0.25164900000000000000
1977-10-01,0.25523110000000000000
1978-01-01,0.25941710000000000000
1978-04-01,0.26474190000000000000
1978-07-01,0.26939110000000000000
1978-10-01,0.27448160000000000000
1979-01-01,0.27965200000000000000
1979-04-01,0.28729320000000000000
1979-07-01,0.29442150000000000000
1979-10-01,0.30154970000000000000
1980-01-01,0.31060280000000000000
1980-04-01,0.31819990000000000000
1980-07-01,0.32564530000000000000
1980-10-01,0.33370010000000000000
1981-01-01,0.34235610000000000000
1981-04-01,0.34810000000000000000
1981-07-01,0.35383580000000000000
1981-10-01,0.35925990000000000000
1982-01-01,0.36382090000000000000
1982-04-01,0.36732300000000000000
1982-07-01,0.37312490000000000000
1982-10-01,0.37724470000000000000
1983-01-01,0.38035790000000000000
1983-04-01,0.38383520000000000000
1983-07-01,0.38888430000000000000
1983-10-01,0.39144880000000000000
1984-01-01,0.39567890000000000000
1984-04-01,0.39951470000000000000
1984-07-01,0.40259210000000000000
1984-10-01,0.40507940000000000000
1985-01-01,0.40985550000000000000
1985-04-01,0.41317840000000000000
1985-07-01,0.41642120000000000000
1985-10-01,0.41932220000000000000
1986-01-01,0.42229210000000000000
1986-04-01,0.42185090000000000000
1986-07-01,0.42407900000000000000
1986-10-01,0.42664630000000000000
1987-01-01,0.43068610000000000000
1987-04-01,0.43484450000000000000
1987-07-01,0.43896430000000000000
1987-10-01,0.44275590000000000000
1988-01-01,0.44625250000000000000
1988-04-01,0.45118020000000000000
1988-07-01,0.45673670000000000000
1988-10-01,0.46135840000000000000
1989-01-01,0.46665840000000000000
1989-04-01,0.47294290000000000000
1989-07-01,0.47573080000000000000
1989-10-01,0.47947550000000000000
1990-01-01,0.48642460000000000000
1990-04-01,0.49084220000000000000
1990-07-01,0.49707700000000000000
1990-10-01,0.50365100000000000000
1991-01-01,0.50630380000000000000
1991-04-01,0.50906680000000000000
1991-07-01,0.51252480000000000000
1991-10-01,0.51624200000000000000
1992-01-01,0.51947940000000000000
1992-04-01,0.52293460000000000000
1992-07-01,0.52626850000000000000
1992-10-01,0.52994150000000000000
1993-01-01,0.53309620000000000000
1993-04-01,0.53667820000000000000
1993-07-01,0.53901110000000000000
1993-10-01,0.54211340000000000000
1994-01-01,0.54405750000000000000
1994-04-01,0.54709350000000000000
1994-07-01,0.55102310000000000000
1994-10-01,0.55360690000000000000
1995-01-01,0.55631760000000000000
1995-04-01,0.55954940000000000000
1995-07-01,0.56183820000000000000
1995-10-01,0.56430620000000000000
1996-01-01,0.56744710000000000000
1996-04-01,0.57124420000000000000
1996-07-01,0.57367910000000000000
1996-10-01,0.57758660000000000000
1997-01-01,0.58013730000000000000
1997-04-01,0.58159060000000000000
1997-07-01,0.58312380000000000000
1997-10-01,0.58495750000000000000
1998-01-01,0.58500170000000000000
1998-04-01,0.58605780000000000000
1998-07-01,0.58786950000000000000
1998-10-01,0.58941930000000000000
1999-01-01,0.59058020000000000000
1999-04-01,0.59394170000000000000
1999-07-01,0.59720940000000000000
1999-10-01,0.60083280000000000000
2000-01-01,0.60571640000000000000
2000-04-01,0.60860080000000000000
2000-07-01,0.61252210000000000000
2000-10-01,0.61598560000000000000
2001-01-01,0.62054650000000000000
2001-04-01,0.62345580000000000000
2001-07-01,0.62377010000000000000
2001-10-01,0.62402380000000000000
2002-01-01,0.62528130000000000000
2002-04-01,0.62992220000000000000
2002-07-01,0.63318170000000000000
2002-10-01,0.63613780000000000000
2003-01-01,0.64099930000000000000
2003-04-01,0.64164180000000000000
2003-07-01,0.64586920000000000000
2003-10-01,0.64904590000000000000
2004-01-01,0.65405080000000000000
2004-04-01,0.65845190000000000000
2004-07-01,0.66168930000000000000
2004-10-01,0.66734780000000000000
2005-01-01,0.67122770000000000000
2005-04-01,0.67546880000000000000
2005-07-01,0.68275700000000000000
2005-10-01,0.68819490000000000000
2006-01-01,0.69177150000000000000
2006-04-01,0.69784080000000000000
2006-07-01,0.70285960000000000000
2006-10-01,0.70170140000000000000
2007-01-01,0.70811550000000000000
2007-04-01,0.71412700000000000000
2007-07-01,0.71816400000000000000
2007-10-01,0.72546600000000000000
2008-01-01,0.73136720000000000000
2008-04-01,0.73849000000000000000
2008-07-01,0.74637110000000000000
2008-10-01,0.73445290000000000000
2009-01-01,0.72949210000000000000
2009-04-01,0.73239020000000000000
2009-07-01,0.73744210000000000000
2009-10-01,0.74313090000000000000
2010-01-01,0.74600430000000000000
2010-04-01,0.74715970000000000000
2010-07-01,0.74859920000000000000
2010-10-01,0.75339460000000000000
2011-01-01,0.75972040000000000000
2011-04-01,0.76719060000000000000
2011-07-01,0.77073680000000000000
2011-10-01,0.77328200000000000000
2012-01-01,0.77840830000000000000
2012-04-01,0.78028900000000000000
2012-07-01,0.78255570000000000000
2012-10-01,0.78694300000000000000
2013-01-01,0.78970050000000000000
2013-04-01,0.79010860000000000000
2013-07-01,0.79335430000000000000
2013-10-01,0.79628010000000000000
2014-01-01,0.79993660000000000000
2014-04-01,0.80351590000000000000
2014-07-01,0.80571090000000000000
2014-10-01,0.80464100000000000000
2015-01-01,0.80103410000000000000
2015-04-01,0.80503250000000000000
2015-07-01,0.80712000000000000000
2015-10-01,0.80650510000000000000
2016-01-01,0.80689940000000000000
2016-04-01,0.81202020000000000000
2016-07-01,0.81482190000000000000
2016-10-01,0.81855280000000000000
2017-01-01,0.82332890000000000000
2017-04-01,0.82498620000000000000
2017-07-01,0.82790090000000000000
2017-10-01,0.83285630000000000000
2018-01-01,0.83868020000000000000
2018-04-01,0.84308410000000000000
2018-07-01,0.84591610000000000000
2018-10-01,0.84912310000000000000
2019-01-01,0.85106990000000000000
2019-04-01,0.85557580000000000000
2019-07-01,0.85766320000000000000
2019-10-01,0.86101920000000000000
2020-01-01,0.86379610000000000000
2020-04-01,0.86004030000000000000
2020-07-01,0.86713550000000000000
2020-10-01,0.87146480000000000000
2021-01-01,0.88168160000000000000
2021-04-01,0.89516880000000000000
2021-07-01,0.90755570000000000000
2021-10-01,0.92251820000000000000
2022-01-01,0.93969500000000000000
2022-04-01,0.95612730000000000000
2022-07-01,0.96711610000000000000
2022-10-01,0.97698540000000000000
2023-01-01,0.98700360000000000000
2023-04-01,0.99308960000000000000
2023-07-01,1.00000000000000000000
2023-10-01,.
